,2/3/2022,2/10/2022,2/17/2022,2/24/2022,3/3/2022,3/10/2022,3/17/2022,3/24/2022,3/31/2022,4/7/2022,4/14/2022,4/21/2022,4/28/2022,5/5/2022,5/12/2022,5/19/2022,5/26/2022,6/2/2022,6/9/2022,6/16/2022,6/23/2022,6/30/2022
CDEC:ADM,9.7,,,,,,,,,,,,,,,,,,,,,
CDEC:AGP,,,,,,,,,,,,,,,,,,,,,,
CDEC:ALP,17,,,,,,,,,,,,,,,,,,,,,
CDEC:BCB,18.7,,,,,,,,,,,,,,,,,,,,,
CDEC:BCH,5.6,,,,,,,,,,,,,,,,,,,,,
CDEC:BFL,9.2,,,,,,,,,,,,,,,,,,,,,
CDEC:BGP,12.7,,,,,,,,,,,,,,,,,,,,,
CDEC:BIM,25.6,,,,,,,,,,,,,,,,,,,,,
CDEC:BKL,45.5,,,,,,,,,,,,,,,,,,,,,
CDEC:BLA,5.5,,,,,,,,,,,,,,,,,,,,,
CDEC:BLC,16.2,,,,,,,,,,,,,,,,,,,,,
CDEC:BLD,18,,,,,,,,,,,,,,,,,,,,,
CDEC:BLK,16.7,,,,,,,,,,,,,,,,,,,,,
CDEC:BLS,16.7,,,,,,,,,,,,,,,,,,,,,
CDEC:BMW,15.3,,,,,,,,,,,,,,,,,,,,,
CDEC:BNK,14.5,,,,,,,,,,,,,,,,,,,,,
CDEC:BSK,15.4,,,,,,,,,,,,,,,,,,,,,
CDEC:CDP,9,,,,,,,,,,,,,,,,,,,,,
CDEC:CHM,21.5,,,,,,,,,,,,,,,,,,,,,
CDEC:CHP,8.6,,,,,,,,,,,,,,,,,,,,,
CDEC:CRL,20.7,,,,,,,,,,,,,,,,,,,,,
CDEC:CSL,27.4,,,,,,,,,,,,,,,,,,,,,
CDEC:CSV,11.1,,,,,,,,,,,,,,,,,,,,,
CDEC:CWD,8.4,,,,,,,,,,,,,,,,,,,,,
CDEC:CWF,3.2,,,,,,,,,,,,,,,,,,,,,
CDEC:CXS,17.2,,,,,,,,,,,,,,,,,,,,,
CDEC:DAN,16.2,,,,,,,,,,,,,,,,,,,,,
CDEC:DDM,13,,,,,,,,,,,,,,,,,,,,,
