,4/07/2022,4/14/2022,4/21/2022,4/28/2022,5/5/2022,5/12/2022,5/19/2022,5/26/2022,6/2/2022,6/9/2022,6/16/2022,6/23/2022,6/30/2022
CDEC:ADM,0,,,,,,,,,,,,
CDEC:AGP,,,,,,,,,,,,,
CDEC:ALP,0.1,,,,,,,,,,,,
CDEC:BCB,18.1,,,,,,,,,,,,
CDEC:BCH,0.4,,,,,,,,,,,,
CDEC:BFL,0.7,,,,,,,,,,,,
CDEC:BGP,6.5,,,,,,,,,,,,
CDEC:BIM,4.7,,,,,,,,,,,,
CDEC:BKL,,,,,,,,,,,,,
CDEC:BLA,3.4,,,,,,,,,,,,
CDEC:BLC,0,,,,,,,,,,,,
CDEC:BLD,11.2,,,,,,,,,,,,
CDEC:BLK,,,,,,,,,,,,,
CDEC:BLS,11.9,,,,,,,,,,,,
CDEC:BMW,13.8,,,,,,,,,,,,
CDEC:BNK,5.2,,,,,,,,,,,,
CDEC:BSK,7.6,,,,,,,,,,,,
CDEC:CDP,6.4,,,,,,,,,,,,
CDEC:CHM,14.4,,,,,,,,,,,,
CDEC:CHP,2.2,,,,,,,,,,,,
CDEC:CRL,19.1,,,,,,,,,,,,
CDEC:CSL,9.1,,,,,,,,,,,,
CDEC:CSV,2.9,,,,,,,,,,,,
CDEC:CWD,3,,,,,,,,,,,,
CDEC:CWF,0,,,,,,,,,,,,
CDEC:CXS,9.6,,,,,,,,,,,,
CDEC:DAN,11.3,,,,,,,,,,,,
CDEC:DDM,11.6,,,,,,,,,,,,
CDEC:DPO,2.3,,,,,,,,,,,,
CDEC:DSS,16,,,,,,,,,,,,
CDEC:EBB,12.6,,,,,,,,,,,,
CDEC:EP5,14.2,,,,,,,,,,,,
CDEC:FDC,16.2,,,,,,,,,,,,
CDEC:FLL,,,,,,,,,,,,,
CDEC:FRN,0,,,,,,,,,,,,
CDEC:FRW,2.5,,,,,,,,,,,,
CDEC:GEM,23.5,,,,,,,,,,,,
CDEC:GIN,4,,,,,,,,,,,,
CDEC:GKS,2,,,,,,,,,,,,
CDEC:GNF,,,,,,,,,,,,,
CDEC:GNL,16.7,,,,,,,,,,,,
CDEC:GRM,0.3,,,,,,,,,,,,
CDEC:GRV,20.3,,,,,,,,,,,,
CDEC:GRZ,2.9,,,,,,,,,,,,
CDEC:HGM,0,,,,,,,,,,,,
