,4/14/2022,4/21/2022,4/28/2022,5/5/2022,5/12/2022,5/19/2022,5/26/2022,6/2/2022,6/9/2022,6/16/2022,6/23/2022,6/30/2022
CDEC:ADM,1.2,,,,,,,,,,,
CDEC:AGP,,,,,,,,,,,,
CDEC:ALP,1.4,,,,,,,,,,,
CDEC:BCB,16.5,,,,,,,,,,,
CDEC:BCH,0.1,,,,,,,,,,,
CDEC:BFL,1.4,,,,,,,,,,,
CDEC:BGP,3.9,,,,,,,,,,,
CDEC:BIM,0,,,,,,,,,,,
CDEC:BKL,,,,,,,,,,,,
CDEC:BLA,0,,,,,,,,,,,
CDEC:BLC,0.9,,,,,,,,,,,
CDEC:BLD,8.4,,,,,,,,,,,
CDEC:BLK,12.5,,,,,,,,,,,
CDEC:BLS,10.6,,,,,,,,,,,
CDEC:BMW,12.2,,,,,,,,,,,
CDEC:BNK,1.6,,,,,,,,,,,
CDEC:BSK,5.7,,,,,,,,,,,
CDEC:CDP,5.9,,,,,,,,,,,
CDEC:CHM,10.1,,,,,,,,,,,
CDEC:CHP,0,,,,,,,,,,,
CDEC:CRL,17,,,,,,,,,,,
CDEC:CSL,6.2,,,,,,,,,,,
CDEC:CSV,1.5,,,,,,,,,,,
CDEC:CWD,2,,,,,,,,,,,
CDEC:CWF,0.4,,,,,,,,,,,
CDEC:CXS,7.2,,,,,,,,,,,
CDEC:DAN,6.7,,,,,,,,,,,
CDEC:DDM,9.6,,,,,,,,,,,
CDEC:DPO,2.9,,,,,,,,,,,
CDEC:DSS,17.8,,,,,,,,,,,
CDEC:EBB,10.5,,,,,,,,,,,
CDEC:EP5,11.8,,,,,,,,,,,
CDEC:FDC,14.8,,,,,,,,,,,
CDEC:FLL,0.2,,,,,,,,,,,
CDEC:FRN,0.8,,,,,,,,,,,
CDEC:FRW,1.1,,,,,,,,,,,
CDEC:GEM,21.5,,,,,,,,,,,
CDEC:GIN,0.4,,,,,,,,,,,
CDEC:GKS,1.6,,,,,,,,,,,
CDEC:GNF,0,,,,,,,,,,,
CDEC:GNL,14.6,,,,,,,,,,,
CDEC:GRM,0.6,,,,,,,,,,,
CDEC:GRV,39.5,,,,,,,,,,,
CDEC:GRZ,1,,,,,,,,,,,
CDEC:HGM,0.2,,,,,,,,,,,
CDEC:HIG,1.6,,,,,,,,,,,
CDEC:HMB,2.5,,,,,,,,,,,
CDEC:HNT,1.2,,,,,,,,,,,
CDEC:HOR,2.8,,,,,,,,,,,
