,5/26/2022,6/2/2022,6/9/2022,6/16/2022,6/23/2022,6/30/2022
CDEC:ADM,,,,,,
CDEC:AGP,,,,,,
CDEC:ALP,0,,,,,
CDEC:BCB,0.4,,,,,
CDEC:BCH,0.6,,,,,
CDEC:BFL,0,,,,,
CDEC:BGP,1.6,,,,,
CDEC:BIM,0.6,,,,,
CDEC:BKL,,,,,,
CDEC:BLA,,,,,,
CDEC:BLC,0,,,,,
CDEC:BLD,0.2,,,,,
CDEC:BLK,0.3,,,,,
CDEC:BLS,0.1,,,,,
CDEC:BMW,,,,,,
CDEC:BNK,0,,,,,
CDEC:BSK,,,,,,
CDEC:CDP,0,,,,,
CDEC:CHM,0,,,,,
CDEC:CHP,,,,,,
CDEC:CRL,0.4,,,,,
CDEC:CSL,0.1,,,,,
CDEC:CSV,0.2,,,,,
CDEC:CWD,2.1,,,,,
CDEC:CWF,0,,,,,
CDEC:CXS,,,,,,
CDEC:DAN,1.4,,,,,
CDEC:DDM,0.8,,,,,
CDEC:DPO,2,,,,,
CDEC:DSS,6.5,,,,,
CDEC:EBB,,,,,,
CDEC:EP5,,,,,,
CDEC:FDC,0.4,,,,,
CDEC:FLL,,,,,,
CDEC:FRN,0,,,,,
CDEC:FRW,,,,,,
CDEC:GEM,6.1,,,,,
CDEC:GIN,0.1,,,,,
CDEC:GKS,0.4,,,,,
CDEC:GNF,0,,,,,
CDEC:GNL,1,,,,,
CDEC:GRM,0,,,,,
CDEC:GRV,,,,,,
CDEC:GRZ,0.4,,,,,
CDEC:HGM,,,,,,
CDEC:HIG,0.6,,,,,
CDEC:HMB,,,,,,
CDEC:HNT,0.2,,,,,
CDEC:HOR,0.2,,,,,
CDEC:HRK,0,,,,,
CDEC:HRS,,,,,,
CDEC:HVN,,,,,,
CDEC:HYS,0.2,,,,,
CDEC:IDC,,,,,,
CDEC:IDP,31.6,,,,,
CDEC:INN,0.1,,,,,
CDEC:KTL,2.8,,,,,
CDEC:LBD,0,,,,,
CDEC:LLP,,,,,,
CDEC:LVM,0,,,,,
CDEC:LVT,28.9,,,,,
CDEC:MDW,8.3,,,,,
CDEC:MED,0.5,,,,,
CDEC:MHP,7,,,,,
CDEC:MNT,0,,,,,
CDEC:MRL,0.1,,,,,
CDEC:MSK,6,,,,,
CDEC:MTM,2.9,,,,,
CDEC:PDS,0,,,,,
CDEC:PET,0.8,,,,,
CDEC:PSC,0.3,,,,,
CDEC:PSN,0,,,,,
CDEC:QUA,1.6,,,,,
CDEC:RBP,0,,,,,
CDEC:RCC,0.2,,,,,
CDEC:RCK,0,,,,,
CDEC:RP2,0.1,,,,,
CDEC:RRM,,,,,,
CDEC:RTL,0,,,,,
CDEC:SCN,27.6,,,,,
CDEC:SCT,0.7,,,,,
CDEC:SDF,1.1,,,,,
CDEC:SDW,0,,,,,
CDEC:SHM,,,,,,
CDEC:SIL,0.5,,,,,
CDEC:SLM,0.3,,,,,
CDEC:SLT,3,,,,,
CDEC:SPS,0.2,,,,,
CDEC:SPT,,,,,,
CDEC:SQV,0.1,,,,,
CDEC:SSM,15.8,,,,,
CDEC:SWM,,,,,,
CDEC:TCC,0.1,,,,,
CDEC:TK2,,,,,,
CDEC:TMR,0.2,,,,,
CDEC:TNY,0,,,,,
CDEC:TUM,0.2,,,,,
CDEC:UBC,,,,,,
CDEC:UTY,1.6,,,,,
CDEC:VLC,,,,,,
CDEC:VRG,,,,,,
CDEC:VVL,0,,,,,
CDEC:WC3,,,,,,
CDEC:WHW,0.1,,,,,
CDEC:WTM,0.1,,,,,
CDEC:WWC,4.5,,,,,
SNOTEL:1000_OR_SNTL,18.4,,,,,
SNOTEL:1004_WA_SNTL,,,,,,
SNOTEL:1005_CO_SNTL,0,,,,,
SNOTEL:1007_OR_SNTL,,,,,,
SNOTEL:1009_MT_SNTL,0.5,,,,,
SNOTEL:1010_OR_SNTL,0,,,,,
SNOTEL:1011_WA_SNTL,60.2,,,,,
SNOTEL:1012_WA_SNTL,79.3,,,,,
SNOTEL:1013_UT_SNTL,0,,,,,
SNOTEL:1014_CO_SNTL,0,,,,,
SNOTEL:1015_WY_SNTL,,,,,,
SNOTEL:1016_ID_SNTL,0,,,,,
SNOTEL:1017_NM_SNTL,0,,,,,
SNOTEL:1018_OR_SNTL,,,,,,
SNOTEL:1019_OR_SNTL,,,,,,
SNOTEL:1020_OR_SNTL,,,,,,
SNOTEL:1021_OR_SNTL,,,,,,
SNOTEL:1022_OR_SNTL,,,,,,
SNOTEL:1023_OR_SNTL,,,,,,
SNOTEL:1024_OR_SNTL,,,,,,
SNOTEL:1025_OR_SNTL,,,,,,
SNOTEL:1027_OR_SNTL,,,,,,
SNOTEL:1028_OR_SNTL,,,,,,
SNOTEL:1029_OR_SNTL,,,,,,
SNOTEL:1030_CO_SNTL,11.5,,,,,
SNOTEL:1031_CO_SNTL,22.3,,,,,
SNOTEL:1032_CO_SNTL,0,,,,,
SNOTEL:1033_CO_SNTL,0.1,,,,,
SNOTEL:1034_NM_SNTL,0,,,,,
SNOTEL:1038_ID_SNTL,,,,,,
SNOTEL:1039_UT_SNTL,0,,,,,
SNOTEL:1040_CO_SNTL,0,,,,,
SNOTEL:1043_WA_SNTL,0.2,,,,,
SNOTEL:1044_OR_SNTL,0,,,,,
SNOTEL:1045_WY_SNTL,0,,,,,
SNOTEL:1046_WY_SNTL,4.2,,,,,
SNOTEL:1048_NM_SNTL,0,,,,,
SNOTEL:1050_CA_SNTL,0.2,,,,,
SNOTEL:1051_CA_SNTL,0,,,,,
