,2022-03-24
CDEC:ADM,8.2
CDEC:AGP,-9999.0
CDEC:ALP,-9999.0
CDEC:BCB,19.57
CDEC:BCH,0.24
CDEC:BFL,8.4
CDEC:BGP,11.93
CDEC:BIM,23.8
CDEC:BKL,2.04
CDEC:BLA,9.48
CDEC:BLC,5.29
CDEC:BLD,18.0
CDEC:BLK,16.9
CDEC:BLS,16.56
CDEC:BMW,17.9
CDEC:BNK,11.76
CDEC:BSK,14.5
CDEC:CDP,10.9
CDEC:CHM,19.8
CDEC:CHP,6.97
CDEC:CRL,21.7
CDEC:CSL,20.4
CDEC:CSV,10.02
CDEC:CWD,4.61
CDEC:CWF,0.0
CDEC:CXS,15.4
CDEC:DAN,-9999.0
CDEC:DDM,14.87
CDEC:DPO,10.41
CDEC:DSS,20.0
CDEC:EBB,18.3
CDEC:EP5,24.3
CDEC:FDC,20.2
CDEC:FLL,1.1
CDEC:FRN,-9999.0
CDEC:FRW,1.92
CDEC:GEM,19.18
CDEC:GIN,-9999.0
CDEC:GKS,11.52
CDEC:GNF,0.0
CDEC:GNL,22.8
CDEC:GRM,0.8
CDEC:GRV,26.64
CDEC:GRZ,15.0
CDEC:HGM,-9999.0
CDEC:HIG,1.8
CDEC:HMB,-9999.0
CDEC:HNT,11.28
CDEC:HOR,10.5
CDEC:HRK,7.04
CDEC:HRS,-9999.0
CDEC:HVN,14.4
CDEC:HYS,19.68
CDEC:IDC,15.1
CDEC:IDP,37.8
CDEC:INN,8.0
CDEC:KTL,3.61
CDEC:LBD,9.5
CDEC:LLP,46.58
CDEC:LVM,2.6
CDEC:LVT,41.4
CDEC:MDW,32.7
CDEC:MED,12.0
CDEC:MHP,30.12
CDEC:MNT,10.4
CDEC:MRL,17.7
CDEC:MSK,26.4
CDEC:MTM,21.18
CDEC:PDS,-9999.0
CDEC:PET,4.2
CDEC:PSC,16.45
CDEC:PSN,12.6
CDEC:QUA,3.36
CDEC:RBP,-9999.0
CDEC:RCC,21.78
CDEC:RCK,6.81
CDEC:RP2,17.7
