station_id,2023-05-06
CDEC:ADM,7.5
CDEC:AGP,-9999
CDEC:ALP,42.91
CDEC:BCB,-9999
CDEC:BCH,-9999
CDEC:BFL,-9999
CDEC:BGP,60.53
CDEC:BIM,-9999
CDEC:BKL,64.8
CDEC:BLA,-9999
CDEC:BLC,18.16
CDEC:BLD,5.28
CDEC:BLK,63.6
CDEC:BLS,68.52
CDEC:BMW,36.4
CDEC:BNK,82.68
CDEC:BSK,50.4
CDEC:CDP,18.1
CDEC:CHM,75.96
CDEC:CHP,50.55
CDEC:CRL,-9999
CDEC:CSL,57
CDEC:CSV,28.2
CDEC:CWD,36.02
CDEC:CWF,0.1
CDEC:CXS,-9999
CDEC:DAN,-9999
CDEC:DDM,60.02
CDEC:DPO,58.36
CDEC:DSS,39
CDEC:EBB,77.2
CDEC:EP5,65.9
CDEC:FDC,73.6
CDEC:FLL,-9999
CDEC:FRN,-9999
CDEC:FRW,108.54
CDEC:GEM,-9999
CDEC:GIN,-9999
CDEC:GKS,26.88
CDEC:GNF,-9999
CDEC:GNL,87.12
CDEC:GRM,53.56
CDEC:GRV,53.04
CDEC:GRZ,37.32
CDEC:HGM,35.8
CDEC:HIG,-9999
CDEC:HMB,56.4
CDEC:HNT,-9999
CDEC:HOR,47
CDEC:HRK,-9999
CDEC:HRS,91.71
CDEC:HVN,42.8
CDEC:HYS,48.48
CDEC:IDC,33.6
CDEC:IDP,78.2
CDEC:INN,10.8
CDEC:KTL,25.65
CDEC:LBD,43
CDEC:LLP,90
CDEC:LVM,18.7
CDEC:LVT,113.7
CDEC:MDW,125.31
CDEC:MED,39.12
CDEC:MHP,-9999
CDEC:MNT,46.8
CDEC:MRL,42.9
CDEC:MSK,69.6
CDEC:MTM,-9999
CDEC:PDS,-9999
CDEC:PET,-9999
CDEC:PSC,-9999
CDEC:PSN,51.3
CDEC:QUA,-9999
CDEC:RBP,0.74
CDEC:RCC,0.92
CDEC:RCK,32.08
CDEC:RP2,53.6
CDEC:RRM,68.08
CDEC:RTL,16.32
CDEC:SCN,50.74
CDEC:SCT,9.12
CDEC:SDF,-9999
CDEC:SDW,56.3
CDEC:SHM,54.52
CDEC:SIL,42.83
CDEC:SLM,36.54
CDEC:SLT,73.08
CDEC:SPS,54.5
CDEC:SPT,0
CDEC:SQV,57.3
CDEC:SSM,-9999
CDEC:SWM,-9999
CDEC:TCC,15.6
CDEC:TK2,16.6
CDEC:TMR,49.44
CDEC:TNY,-9999
CDEC:TUM,-9999
CDEC:UBC,-9999
CDEC:UTY,-9999
CDEC:VLC,55.56
CDEC:VRG,48.1
CDEC:VVL,65.49
CDEC:WC3,56
CDEC:WHW,-9999
CDEC:WTM,-9999
CDEC:WWC,-9999
SNOTEL:1000_OR_SNTL,50.5
SNOTEL:1004_WA_SNTL,-9999
SNOTEL:1005_CO_SNTL,0.4
SNOTEL:1007_OR_SNTL,-9999
SNOTEL:1009_MT_SNTL,12.4
SNOTEL:1010_OR_SNTL,6.1
SNOTEL:1011_WA_SNTL,53.6
SNOTEL:1012_WA_SNTL,96.3
SNOTEL:1013_UT_SNTL,18
SNOTEL:1014_CO_SNTL,0.1
SNOTEL:1015_WY_SNTL,15.1
SNOTEL:1016_ID_SNTL,-9999
SNOTEL:1017_NM_SNTL,0.1
SNOTEL:1018_OR_SNTL,-9999
SNOTEL:1019_OR_SNTL,-9999
SNOTEL:1020_OR_SNTL,-9999
SNOTEL:1021_OR_SNTL,-9999
SNOTEL:1022_OR_SNTL,-9999
SNOTEL:1023_OR_SNTL,-9999
SNOTEL:1024_OR_SNTL,-9999
SNOTEL:1025_OR_SNTL,-9999
SNOTEL:1027_OR_SNTL,-9999
SNOTEL:1028_OR_SNTL,-9999
SNOTEL:1029_OR_SNTL,-9999
SNOTEL:1030_CO_SNTL,25.5
SNOTEL:1031_CO_SNTL,27.2
SNOTEL:1032_CO_SNTL,8.8
SNOTEL:1033_CO_SNTL,24
SNOTEL:1034_NM_SNTL,0.1
SNOTEL:1038_ID_SNTL,-9999
SNOTEL:1039_UT_SNTL,26.2
SNOTEL:1040_CO_SNTL,11.6
SNOTEL:1043_WA_SNTL,0
SNOTEL:1044_OR_SNTL,-9999
SNOTEL:1045_WY_SNTL,0.1
SNOTEL:1046_WY_SNTL,-9999
SNOTEL:1048_NM_SNTL,0.1
SNOTEL:1050_CA_SNTL,47.2
SNOTEL:1051_CA_SNTL,50.1
SNOTEL:1052_CA_SNTL,56.2
SNOTEL:1053_ID_SNTL,0
SNOTEL:1054_UT_SNTL,45.4
SNOTEL:1058_CO_SNTL,0
SNOTEL:1061_CO_SNTL,10.1
SNOTEL:1065_UT_SNTL,0.2
SNOTEL:1066_UT_SNTL,0
SNOTEL:1067_CA_SNTL,52.4
SNOTEL:1068_WA_SNTL,26.1
SNOTEL:1077_OR_SNTL,20.6
SNOTEL:1079_OR_SNTL,38.6
SNOTEL:1082_WY_SNTL,46.9
SNOTEL:1084_OR_SNTL,-9999
SNOTEL:1085_WA_SNTL,50.2
SNOTEL:1098_UT_SNTL,42.3
SNOTEL:1099_UT_SNTL,16.8
SNOTEL:1100_CO_SNTL,6.3
SNOTEL:1101_CO_SNTL,10.4
SNOTEL:1104_WA_SNTL,0
SNOTEL:1105_MT_SNTL,1.2
SNOTEL:1107_WA_SNTL,45.6
SNOTEL:1109_WA_SNTL,0.1
SNOTEL:1110_NV_SNTL,0
SNOTEL:1111_NV_SNTL,1.1
SNOTEL:1113_UT_SNTL,8
SNOTEL:1114_UT_SNTL,26.3
SNOTEL:1115_UT_SNTL,28.8
SNOTEL:1119_WY_SNTL,34.6
SNOTEL:1120_CO_SNTL,26.1
SNOTEL:1121_AZ_SNTL,-9999
SNOTEL:1122_CO_SNTL,6.2
SNOTEL:1123_CO_SNTL,15.5
SNOTEL:1124_CO_SNTL,0.1
SNOTEL:1127_AZ_SNTL,-9999
SNOTEL:1128_CO_SNTL,11.3
SNOTEL:1129_WA_SNTL,2.6
SNOTEL:1131_WY_SNTL,7.4
SNOTEL:1132_WY_SNTL,4.8
SNOTEL:1133_WY_SNTL,-9999
SNOTEL:1134_WY_SNTL,7.2
SNOTEL:1135_UT_SNTL,0
SNOTEL:1136_NV_SNTL,12
SNOTEL:1138_NM_SNTL,-9999
SNOTEL:1139_AZ_SNTL,0
SNOTEL:1140_AZ_SNTL,1.3
SNOTEL:1141_CO_SNTL,13.4
SNOTEL:1143_AZ_SNTL,2.1
SNOTEL:1144_MT_SNTL,0
