,location,elevation_m,Lat,Long,state,Date,SWE,Region,Prev_SWE,Delta_SWE
CDEC:ADM,Adin Mountain,1889.76,41.237,-120.792,California,9/24/2022,0,N_Sierras,0,0
CDEC:BKL,Bucks Lake,1790.0904,39.852921,-121.25135,California,9/24/2022,0,N_Sierras,0,0
CDEC:BLA,Blacks Mountain,2148.84,40.76984,-121.199783,California,9/24/2022,0,N_Sierras,0,0
CDEC:BLC,Blue Canyon,1609.344,39.280098,-120.708694,California,9/24/2022,0,N_Sierras,0,0
CDEC:BMW,Big Meadows (Scs),2651.76,39.458,-119.945999,California,9/24/2022,0,N_Sierras,0,0
CDEC:CDP,Cedar Pass,2164.08,41.583,-120.303001,California,9/24/2022,0,N_Sierras,0,0
CDEC:CSL,Cent Sierra Snow Lab,2103.12,39.325001,-120.366997,California,9/24/2022,0,N_Sierras,0,0
CDEC:CWF,Crowder Flat,1554.48,41.893398,-120.7519,California,9/24/2022,0,N_Sierras,0,0
CDEC:DSS,Dismal Swamp,2148.84,41.993,-120.165001,California,9/24/2022,0,N_Sierras,0,0
CDEC:GKS,Greek Store,1706.88,39.07468,-120.5616,California,9/24/2022,0,N_Sierras,0,0
CDEC:GRZ,Grizzly Ridge,2103.12,39.917,-120.644997,California,9/24/2022,0,N_Sierras,0,0
CDEC:HIG,Highland Lakes,1837.944,41.091782,-122.491562,California,9/24/2022,0,N_Sierras,0,0
CDEC:HMB,Humbug,1981.2,40.115002,-121.367996,California,9/24/2022,0,N_Sierras,0,0
CDEC:HRK,Harkness Flat,1889.76,40.417999,-121.275002,California,9/24/2022,0,N_Sierras,0,0
CDEC:HYS,Huysink,2011.68,39.281422,-120.529633,California,9/24/2022,0,N_Sierras,0,0
CDEC:IDC,Independence Camp,2133.6,39.452587,-120.298546,California,9/24/2022,0,N_Sierras,0,0
CDEC:IDP,Independence Lake (Scs),2575.56,39.435001,-120.321999,California,9/24/2022,0,N_Sierras,0,0
CDEC:INN,Independence Creek,1981.2,39.493999,-120.292999,California,9/24/2022,0,N_Sierras,0,0
CDEC:KTL,Kettle Rock,2225.04,40.139999,-120.714996,California,9/24/2022,0,N_Sierras,0,0
CDEC:LLP,Lower Lassen Peak,2541.4224,40.466602,-121.50811,California,9/24/2022,0,N_Sierras,0,0
CDEC:MDW,Meadow Lake,2194.56,39.405663,-120.506058,California,9/24/2022,0,N_Sierras,0,0
CDEC:MED,Medicine Lake,2042.16,41.591389,-121.610832,California,9/24/2022,0,N_Sierras,0,0
CDEC:MRL,Marlette Lake,2438.4,39.173,-119.904999,California,9/24/2022,0,N_Sierras,0,0
CDEC:MSK,Mount Rose Ski Area,2712.72,39.326,-119.902,California,9/24/2022,0,N_Sierras,0,0
CDEC:RCC,Robinson Cow Camp,1975.104,39.621864,-120.679871,California,9/24/2022,0,N_Sierras,0,0
CDEC:RP2,Rubicon Peak 2,2286,39.000999,-120.139999,California,9/24/2022,0,N_Sierras,0,0
CDEC:RTL,Rattlesnake,1892.808,40.127911,-121.043968,California,9/24/2022,0,N_Sierras,0,0
CDEC:SDF,Sand Flat,2057.4,41.350239,-122.246529,California,9/24/2022,0,N_Sierras,0,0
CDEC:SLT,Slate Creek,1737.36,41.04398,-122.480103,California,9/24/2022,0,N_Sierras,0,0
CDEC:SQV,Palisades Tahoe Snotel,2499.36,39.194,-120.276001,California,9/24/2022,0,N_Sierras,0,0
CDEC:SSM,Sunnyside Meadow,1920.24,39.698132,-120.782211,California,9/24/2022,0,N_Sierras,0,0
CDEC:TCC,Tahoe City Cross,2057.4,39.17144,-120.154655,California,9/24/2022,0,N_Sierras,0,0
CDEC:TK2,Truckee 2,1950.72,39.299999,-120.194,California,9/24/2022,0,N_Sierras,0,0
CDEC:WC3,Ward Creek 3,2057.4,39.135574,-120.218681,California,9/24/2022,0,N_Sierras,0,0
SNOTEL:1242_NV_SNTL,Little Valley,1979.066406,39.25259018,-119.8770981,Nevada,9/24/2022,0,N_Sierras,0,0
SNOTEL:1258_CA_SNTL,State Line,1731.264038,41.98609161,-120.7157364,California,9/24/2022,0,N_Sierras,0,0
SNOTEL:1277_CA_SNTL,Fredonyer Peak,2196.998291,40.68798828,-120.6080475,California,9/24/2022,0,N_Sierras,0,0
SNOTEL:301_CA_SNTL,Adin Mtn,1886.712036,41.2358284,-120.7919235,California,9/24/2022,0,N_Sierras,0,0
SNOTEL:340_NV_SNTL,Big Meadow,2510.028076,39.45500183,-119.9421997,Nevada,9/24/2022,0,N_Sierras,0,0
SNOTEL:428_CA_SNTL,Css Lab,2101.29126,39.32564926,-120.3680725,California,9/24/2022,0,N_Sierras,0,0
SNOTEL:540_CA_SNTL,Independence Creek,1961.692749,39.49000931,-120.2822571,California,9/24/2022,0,N_Sierras,0,0
SNOTEL:541_CA_SNTL,Independence Lake,2541.422363,39.42752075,-120.3134232,California,9/24/2022,0,N_Sierras,0,0
