,9/24/2022
CDEC:ADM,0
CDEC:AGP,0
CDEC:ALP,0
CDEC:BCB,0
CDEC:BCH,0
CDEC:BFL,0
CDEC:BGP,0
CDEC:BIM,0
CDEC:BKL,0
CDEC:BLA,0
CDEC:BLC,0
CDEC:BLD,0
CDEC:BLK,0
CDEC:BLS,0
CDEC:BMW,0
CDEC:BNK,0
CDEC:BSK,0
CDEC:CDP,0
CDEC:CHM,0
CDEC:CHP,0
CDEC:CRL,0
CDEC:CSL,0
CDEC:CSV,0
CDEC:CWD,0
CDEC:CWF,0
CDEC:CXS,0
CDEC:DAN,0
CDEC:DDM,0
CDEC:DPO,0
CDEC:DSS,0
CDEC:EBB,0
CDEC:EP5,0
CDEC:FDC,0
CDEC:FLL,0
CDEC:FRN,0
CDEC:FRW,0
CDEC:GEM,0
CDEC:GIN,0
CDEC:GKS,0
CDEC:GNF,0
CDEC:GNL,0
CDEC:GRM,0
CDEC:GRV,0
CDEC:GRZ,0
CDEC:HGM,0
CDEC:HIG,0
CDEC:HMB,0
CDEC:HNT,0
CDEC:HOR,0
CDEC:HRK,0
CDEC:HRS,0
CDEC:HVN,0
CDEC:HYS,0
CDEC:IDC,0
CDEC:IDP,0
CDEC:INN,0
CDEC:KTL,0
CDEC:LBD,0
CDEC:LLP,0
CDEC:LVM,0
CDEC:LVT,0
CDEC:MDW,0
CDEC:MED,0
CDEC:MHP,0
CDEC:MNT,0
CDEC:MRL,0
CDEC:MSK,0
CDEC:MTM,0
CDEC:PDS,0
CDEC:PET,0
CDEC:PSC,0
CDEC:PSN,0
CDEC:QUA,0
CDEC:RBP,0
CDEC:RCC,0
CDEC:RCK,0
CDEC:RP2,0
CDEC:RRM,0
CDEC:RTL,0
CDEC:SCN,0
CDEC:SCT,0
CDEC:SDF,0
CDEC:SDW,0
CDEC:SHM,0
CDEC:SIL,0
CDEC:SLM,0
CDEC:SLT,0
CDEC:SPS,0
CDEC:SPT,0
CDEC:SQV,0
CDEC:SSM,0
CDEC:SWM,0
CDEC:TCC,0
CDEC:TK2,0
CDEC:TMR,0
CDEC:TNY,0
CDEC:TUM,0
CDEC:UBC,0
CDEC:UTY,0
CDEC:VLC,0
CDEC:VRG,0
CDEC:VVL,0
CDEC:WC3,0
CDEC:WHW,0
CDEC:WTM,0
CDEC:WWC,0
SNOTEL:1000_OR_SNTL,0
SNOTEL:1004_WA_SNTL,0
SNOTEL:1005_CO_SNTL,0
SNOTEL:1007_OR_SNTL,0
SNOTEL:1009_MT_SNTL,0
SNOTEL:1010_OR_SNTL,0
SNOTEL:1011_WA_SNTL,0
SNOTEL:1012_WA_SNTL,0
SNOTEL:1013_UT_SNTL,0
SNOTEL:1014_CO_SNTL,0
SNOTEL:1015_WY_SNTL,0
SNOTEL:1016_ID_SNTL,0
SNOTEL:1017_NM_SNTL,0
SNOTEL:1018_OR_SNTL,0
SNOTEL:1019_OR_SNTL,0
SNOTEL:1020_OR_SNTL,0
SNOTEL:1021_OR_SNTL,0
SNOTEL:1022_OR_SNTL,0
SNOTEL:1023_OR_SNTL,0
SNOTEL:1024_OR_SNTL,0
SNOTEL:1025_OR_SNTL,0
SNOTEL:1027_OR_SNTL,0
SNOTEL:1028_OR_SNTL,0
SNOTEL:1029_OR_SNTL,0
SNOTEL:1030_CO_SNTL,0
SNOTEL:1031_CO_SNTL,0
SNOTEL:1032_CO_SNTL,0
SNOTEL:1033_CO_SNTL,0
SNOTEL:1034_NM_SNTL,0
SNOTEL:1038_ID_SNTL,0
SNOTEL:1039_UT_SNTL,0
SNOTEL:1040_CO_SNTL,0
SNOTEL:1043_WA_SNTL,0
SNOTEL:1044_OR_SNTL,0
SNOTEL:1045_WY_SNTL,0
SNOTEL:1046_WY_SNTL,0
SNOTEL:1048_NM_SNTL,0
SNOTEL:1050_CA_SNTL,0
SNOTEL:1051_CA_SNTL,0
SNOTEL:1052_CA_SNTL,0
SNOTEL:1053_ID_SNTL,0
SNOTEL:1054_UT_SNTL,0
SNOTEL:1058_CO_SNTL,0
SNOTEL:1061_CO_SNTL,0
SNOTEL:1065_UT_SNTL,0
SNOTEL:1066_UT_SNTL,0
SNOTEL:1067_CA_SNTL,0
SNOTEL:1068_WA_SNTL,0
SNOTEL:1077_OR_SNTL,0
SNOTEL:1079_OR_SNTL,0
SNOTEL:1082_WY_SNTL,0
SNOTEL:1084_OR_SNTL,0
SNOTEL:1085_WA_SNTL,0
SNOTEL:1098_UT_SNTL,0
SNOTEL:1099_UT_SNTL,0
SNOTEL:1100_CO_SNTL,0
SNOTEL:1101_CO_SNTL,0
SNOTEL:1104_WA_SNTL,0
SNOTEL:1105_MT_SNTL,0
SNOTEL:1107_WA_SNTL,0
SNOTEL:1109_WA_SNTL,0
SNOTEL:1110_NV_SNTL,0
SNOTEL:1111_NV_SNTL,0
SNOTEL:1113_UT_SNTL,0
SNOTEL:1114_UT_SNTL,0
SNOTEL:1115_UT_SNTL,0
SNOTEL:1119_WY_SNTL,0
SNOTEL:1120_CO_SNTL,0
SNOTEL:1121_AZ_SNTL,0
SNOTEL:1122_CO_SNTL,0
SNOTEL:1123_CO_SNTL,0
SNOTEL:1124_CO_SNTL,0
SNOTEL:1127_AZ_SNTL,0
SNOTEL:1128_CO_SNTL,0
SNOTEL:1129_WA_SNTL,0
SNOTEL:1131_WY_SNTL,0
SNOTEL:1132_WY_SNTL,0
SNOTEL:1133_WY_SNTL,0
SNOTEL:1134_WY_SNTL,0
SNOTEL:1135_UT_SNTL,0
SNOTEL:1136_NV_SNTL,0
SNOTEL:1138_NM_SNTL,0
SNOTEL:1139_AZ_SNTL,0
SNOTEL:1140_AZ_SNTL,0
SNOTEL:1141_CO_SNTL,0
SNOTEL:1143_AZ_SNTL,0
SNOTEL:1144_MT_SNTL,0
SNOTEL:1146_UT_SNTL,0
SNOTEL:1147_NV_SNTL,0
SNOTEL:1148_UT_SNTL,0
SNOTEL:1149_UT_SNTL,0
SNOTEL:1150_NV_SNTL,0
SNOTEL:1152_NV_SNTL,0
SNOTEL:1154_UT_SNTL,0
SNOTEL:1155_NV_SNTL,0
SNOTEL:1156_UT_SNTL,0
SNOTEL:1157_WA_SNTL,0
SNOTEL:1159_WA_SNTL,0
SNOTEL:1160_CO_SNTL,0
