,2022-04-21
CDEC:ADM,1.8
CDEC:AGP,-9999.0
CDEC:ALP,-9999.0
CDEC:BCB,17.11
CDEC:BCH,0.24
CDEC:BFL,2.76
CDEC:BGP,1.45
CDEC:BIM,0.56
CDEC:BKL,0.0
CDEC:BLA,0.6
CDEC:BLC,0.0
CDEC:BLD,10.44
CDEC:BLK,-9999.0
CDEC:BLS,12.36
CDEC:BMW,12.7
CDEC:BNK,5.4
CDEC:BSK,5.3
CDEC:CDP,7.2
CDEC:CHM,9.24
CDEC:CHP,0.0
CDEC:CRL,16.12
CDEC:CSL,10.8
CDEC:CSV,0.13
CDEC:CWD,1.58
CDEC:CWF,0.2
CDEC:CXS,7.8
CDEC:DAN,-9999.0
CDEC:DDM,10.17
CDEC:DPO,2.42
CDEC:DSS,21.9
CDEC:EBB,13.0
CDEC:EP5,15.5
CDEC:FDC,17.4
CDEC:FLL,-9999.0
CDEC:FRN,4.08
CDEC:FRW,0.0
CDEC:GEM,21.98
CDEC:GIN,-9999.0
CDEC:GKS,2.64
CDEC:GNF,0.0
CDEC:GNL,17.04
CDEC:GRM,0.41
CDEC:GRV,39.0
CDEC:GRZ,3.36
CDEC:HGM,0.1
CDEC:HIG,5.4
CDEC:HMB,-9999.0
CDEC:HNT,0.12
CDEC:HOR,2.5
CDEC:HRK,3.5
CDEC:HRS,-9999.0
CDEC:HVN,6.3
CDEC:HYS,15.6
CDEC:IDC,0.6
CDEC:IDP,38.1
CDEC:INN,0.5
CDEC:KTL,3.16
CDEC:LBD,1.9
CDEC:LLP,58.53
CDEC:LVM,0.0
CDEC:LVT,42.0
CDEC:MDW,30.88
CDEC:MED,7.56
CDEC:MHP,24.24
CDEC:MNT,0.0
CDEC:MRL,10.0
CDEC:MSK,24.5
CDEC:MTM,17.88
CDEC:PDS,-9999.0
CDEC:PET,3.84
CDEC:PSC,0.0
CDEC:PSN,10.1
CDEC:QUA,1.44
CDEC:RBP,-9999.0
CDEC:RCC,16.1
CDEC:RCK,0.0
CDEC:RP2,13.4
CDEC:RRM,3.44
CDEC:RTL,0.0
CDEC:SCN,-9999.0
CDEC:SCT,0.96
