station_id,2022-12-10
CDEC:ADM,6.2
CDEC:AGP,-9999.0
CDEC:ALP,6.83
CDEC:BCB,8.26
CDEC:BCH,1.71
CDEC:BFL,-9999.0
CDEC:BGP,5.4
CDEC:BIM,-9999.0
CDEC:BKL,13.08
CDEC:BLA,2.88
CDEC:BLC,8.19
CDEC:BLD,6.84
CDEC:BLK,-9999.0
CDEC:BLS,6.6
CDEC:BMW,5.4
CDEC:BNK,5.28
CDEC:BSK,7.5
CDEC:CDP,7.3
CDEC:CHM,11.16
CDEC:CHP,5.61
CDEC:CRL,8.49
CDEC:CSL,9.3
CDEC:CSV,6.58
CDEC:CWD,3.71
CDEC:CWF,2.4
CDEC:CXS,-9999.0
CDEC:DAN,-9999.0
CDEC:DDM,5.97
CDEC:DPO,9.1
CDEC:DSS,7.4
CDEC:EBB,9.4
CDEC:EP5,9.9
CDEC:FDC,9.4
CDEC:FLL,3.4
CDEC:FRN,7.44
CDEC:FRW,10.13
CDEC:GEM,9.51
CDEC:GIN,-9999.0
CDEC:GKS,6.48
CDEC:GNF,2.27
CDEC:GNL,9.12
CDEC:GRM,-9999.0
CDEC:GRV,11.52
CDEC:GRZ,-9999.0
CDEC:HGM,5.5
CDEC:HIG,-9999.0
CDEC:HMB,11.25
CDEC:HNT,-9999.0
CDEC:HOR,5.2
CDEC:HRK,7.44
CDEC:HRS,-9999.0
CDEC:HVN,-9999.0
CDEC:HYS,7.68
CDEC:IDC,7.4
CDEC:IDP,9.8
CDEC:INN,4.1
CDEC:KTL,-9999.0
CDEC:LBD,-9999.0
CDEC:LLP,19.07
CDEC:LVM,4.1
CDEC:LVT,12.2
CDEC:MDW,14.03
CDEC:MED,7.92
CDEC:MHP,12.6
CDEC:MNT,5.1
CDEC:MRL,5.6
CDEC:MSK,9.2
CDEC:MTM,9.3
CDEC:PDS,-9999.0
CDEC:PET,4.8
CDEC:PSC,-9999.0
CDEC:PSN,5.0
CDEC:QUA,-9999.0
CDEC:RBP,-9999.0
CDEC:RCC,13.07
CDEC:RCK,4.38
CDEC:RP2,6.8
CDEC:RRM,3.61
CDEC:RTL,8.16
CDEC:SCN,4.67
CDEC:SCT,2.52
CDEC:SDF,7.8
CDEC:SDW,5.2
CDEC:SHM,6.99
CDEC:SIL,6.62
CDEC:SLM,7.89
CDEC:SLT,6.0
CDEC:SPS,6.0
CDEC:SPT,2.9
CDEC:SQV,-9999.0
CDEC:SSM,10.36
CDEC:SWM,5.04
CDEC:TCC,3.5
CDEC:TK2,5.2
CDEC:TMR,5.88
CDEC:TNY,-9999.0
CDEC:TUM,-9999.0
CDEC:UBC,10.0
CDEC:UTY,4.2
CDEC:VLC,6.72
CDEC:VRG,4.2
CDEC:VVL,10.44
CDEC:WC3,9.0
CDEC:WHW,8.6
CDEC:WTM,4.44
CDEC:WWC,7.58
SNOTEL:1000_OR_SNTL,7.8
SNOTEL:1004_WA_SNTL,-9999.0
SNOTEL:1005_CO_SNTL,2.0
SNOTEL:1007_OR_SNTL,-9999.0
SNOTEL:1009_MT_SNTL,4.3
SNOTEL:1010_OR_SNTL,5.5
SNOTEL:1011_WA_SNTL,13.3
SNOTEL:1012_WA_SNTL,16.8
SNOTEL:1013_UT_SNTL,5.5
SNOTEL:1014_CO_SNTL,3.7
SNOTEL:1015_WY_SNTL,4.0
SNOTEL:1016_ID_SNTL,2.4
SNOTEL:1017_NM_SNTL,1.4
SNOTEL:1018_OR_SNTL,-9999.0
SNOTEL:1019_OR_SNTL,-9999.0
SNOTEL:1020_OR_SNTL,-9999.0
SNOTEL:1021_OR_SNTL,-9999.0
SNOTEL:1022_OR_SNTL,-9999.0
SNOTEL:1023_OR_SNTL,-9999.0
SNOTEL:1024_OR_SNTL,-9999.0
