,location,elevation_m,Lat,Long,state,Date,SWE,Region,Prev_SWE,Delta_SWE
CDEC:ADM,Adin Mountain,1889.76,41.237,-120.792,California,2022-11-05,1.2,N_Sierras,0.2,1.0
CDEC:BKL,Bucks Lake,1790.0904,39.852921,-121.25135,California,2022-11-05,1.08,N_Sierras,0.12,0.9600000000000001
CDEC:BLA,Blacks Mountain,2148.84,40.76984,-121.199783,California,2022-11-05,0.0,N_Sierras,0.0,0.0
CDEC:BLC,Blue Canyon,1609.344,39.280098,-120.708694,California,2022-11-05,0.81,N_Sierras,0.0,0.81
CDEC:BMW,Big Meadows (Scs),2651.76,39.458,-119.945999,California,2022-11-05,0.8,N_Sierras,0.0,0.8
CDEC:CDP,Cedar Pass,2164.08,41.583,-120.303001,California,2022-11-05,1.2,N_Sierras,0.1,1.0999999999999999
CDEC:CSL,Cent Sierra Snow Lab,2103.12,39.325001,-120.366997,California,2022-11-05,1.5,N_Sierras,0.1,1.4
CDEC:CWF,Crowder Flat,1554.48,41.893398,-120.7519,California,2022-11-05,0.1,N_Sierras,0.0,0.1
CDEC:DSS,Dismal Swamp,2148.84,41.993,-120.165001,California,2022-11-05,0.7,N_Sierras,0.0,0.7
CDEC:GKS,Greek Store,1706.88,39.07468,-120.5616,California,2022-11-05,0.96,N_Sierras,0.0,0.96
CDEC:GRZ,Grizzly Ridge,2103.12,39.917,-120.644997,California,2022-11-05,1.56,N_Sierras,0.24,1.32
CDEC:HIG,Highland Lakes,1837.944,41.091782,-122.49156200000002,California,2022-11-05,0.9531111111111111,N_Sierras,0.0,0.9531111111111111
CDEC:HMB,Humbug,1981.2,40.115002,-121.367996,California,2022-11-05,0.9531111111111111,N_Sierras,0.0,0.9531111111111111
CDEC:HRK,Harkness Flat,1889.76,40.417999,-121.275002,California,2022-11-05,0.64,N_Sierras,0.0,0.64
CDEC:HYS,Huysink,2011.68,39.281422,-120.529633,California,2022-11-05,0.96,N_Sierras,0.0,0.96
CDEC:IDC,Independence Camp,2133.6,39.452587,-120.298546,California,2022-11-05,1.2,N_Sierras,0.0,1.2
CDEC:IDP,Independence Lake (Scs),2575.56,39.435001,-120.321999,California,2022-11-05,1.3,N_Sierras,0.0,1.3
CDEC:INN,Independence Creek,1981.2,39.493999,-120.292999,California,2022-11-05,0.8,N_Sierras,0.0,0.8
CDEC:KTL,Kettle Rock,2225.04,40.139999,-120.714996,California,2022-11-05,0.0,N_Sierras,0.0,0.0
CDEC:LLP,Lower Lassen Peak,2541.4224,40.466602,-121.50811000000002,California,2022-11-05,0.83,N_Sierras,0.0,0.83
CDEC:MDW,Meadow Lake,2194.56,39.405663,-120.506058,California,2022-11-05,1.42,N_Sierras,0.0,1.42
CDEC:MED,Medicine Lake,2042.16,41.591389,-121.610832,California,2022-11-05,0.96,N_Sierras,0.12,0.84
CDEC:MRL,Marlette Lake,2438.4,39.173,-119.904999,California,2022-11-05,0.7,N_Sierras,0.0,0.7
CDEC:MSK,Mount Rose Ski Area,2712.7200000000007,39.326,-119.902,California,2022-11-05,1.1,N_Sierras,0.0,1.1
CDEC:RCC,Robinson Cow Camp,1975.104,39.621864,-120.679871,California,2022-11-05,1.88,N_Sierras,0.26,1.6199999999999999
CDEC:RP2,Rubicon Peak 2,2286.0,39.000999,-120.139999,California,2022-11-05,1.3,N_Sierras,0.1,1.2
CDEC:RTL,Rattlesnake,1892.808,40.127911,-121.043968,California,2022-11-05,0.84,N_Sierras,0.0,0.84
